"location_id","observed_at","state","water_level","sensor"
"X13","2021-07-20 10:21:17","flow",17.9641110802253,"X1"
"EX66","2021-06-11 10:47:51","flow",NA,"X5"
"EX47","2021-09-07 10:35:40","wt",1.77701594870043,"X6"
"EX41","2021-08-10 11:13:38","flow",4.99032207422657,"X7"
"X14","2021-07-20 12:30:52","flow",27.2108843354098,"X4"
"EX61","2021-10-12 12:51:39","no_flow",23.3737879506053,"X4"
"X15","2021-08-26 12:21:11","wt",12.5754019496529,"X2"
"X10","2021-10-13 12:35:58","flow",26.5661263363238,"X4"
"X2","2021-09-28 10:10:39","no_flow",5.22620914706291,"X7"
"EX37","2021-10-12 13:20:00","no_flow",12.2346761777782,"X2"
"EX57","2021-10-13 10:38:50","flow",31.2891097280025,"X1"
"X7","2021-10-15 11:31:32","flow",10.2322570261452,"X8"
"EX26","2021-08-06 11:03:53","flow",NA,"X6"
"EX9","2021-10-22 08:14:00","no_flow",24.3749975264218,"X4"
"EX5","2021-06-02 10:50:16","no_flow",NA,"X5"
"EX52","2021-10-22 09:21:32","no_flow",NA,"X5"
"X14","2021-07-23 09:02:32","flow",12.2923374622493,"X2"
"X8","2021-09-18 11:48:00","flow",3.40725771874713,"X3"
"EX65","2021-08-10 11:14:05","no_flow",NA,"X5"
"EX21","2021-08-06 10:27:22","no_flow",5.7556445772067,"X7"
"X9","2021-10-22 09:36:17","flow",1.53588694091217,"X6"
"EX3","2021-08-18 06:27:26","no_flow",11.5008052845096,"X8"
"EX51","2021-06-11 11:34:29","wt",NA,"X3"
"X9","2021-08-06 11:36:12","flow",NA,"X4"
"EX4","2021-10-22 08:10:22","no_flow",10.0120957581647,"X8"
"EX59","2021-09-03 10:00:00","flow",10.5572569931642,"X8"
"EX62","2021-09-07 09:16:30","no_flow",1.75604820889275,"X6"
"EX4","2021-08-06 09:29:02","no_flow",22.5612880330579,"X1"
"EX36","2021-08-18 08:52:47","flow",NA,"X5"
"EX5","2021-06-02 10:50:16","no_flow",11.8677407311439,"X8"
"EX16","2021-10-12 12:12:45","no_flow",5.70322522768751,"X7"
"EX50","2021-07-23 09:01:43","flow",24.0080620797875,"X4"
"EX20","2021-10-22 08:58:58","flow",12.6487890389797,"X2"
"EX23","2021-08-10 09:36:45","no_flow",26.2463683042568,"X4"
"EX58","2021-09-15 12:40:27","no_flow",NA,"X5"
"EX48","2021-09-03 09:51:14","wt",15.3955629537851,"X1"
"EX36","2021-07-23 08:18:14","no_flow",12.3657245515761,"X2"
"EX68","2021-08-18 09:18:41","flow",11.3802407806154,"X8"
"EX25","2021-09-07 08:30:24","wt",NA,"X5"
"EX25","2021-10-22 09:07:46","flow",NA,"X5"
"EX53","2021-09-18 13:11:13","no_flow",10.5782247329719,"X8"
"EX30","2021-09-21 11:15:02","flow",NA,"X5"
"EX8","2021-10-22 08:13:34","wt",12.6697567787874,"X2"
"EX71","2021-08-06 13:03:38","no_flow",NA,"X4"
"EX15","2021-08-18 06:36:55","flow",11.5008052845096,"X8"
"EX37","2021-08-18 08:58:50","no_flow",NA,"X6"
"X15","2021-09-21 11:58:30","wt",NA,"X3"
"EX55","2021-08-26 12:54:40","no_flow",15.7624984004194,"X1"
"EX26","2021-10-20 13:37:34","no_flow",NA,"X5"
"EX43","2021-08-26 11:52:29","no_flow",NA,"X6"
"EX38","2021-10-12 13:18:07","wt",NA,"X5"
"EX7","2021-08-26 09:16:04","no_flow",15.9931435383038,"X1"
"EX70","2021-08-26 11:25:32","no_flow",NA,"X5"
"EX25","2021-08-06 10:57:12","flow",22.0370945378661,"X1"
"EX24","2021-09-07 08:37:47","no_flow",NA,"X5"
"X13","2021-10-20 13:17:03","wt",11.731450422394,"X2"
"EX58","2021-09-03 09:57:51","no_flow",6.11209615393716,"X7"
"EX58","2021-10-13 11:25:49","no_flow",26.8806424334389,"X4"
"EX14","2021-10-13 09:34:23","flow",12.8008051525854,"X8"
